time,open,high,low,close,volume
1585130400000,6500.00000000,6591.50000000,6500.00000000,6591.50000000,0.00400000
1585134000000,6591.50000000,6628.50000000,6457.50000000,6511.50000000,438.87300000
1585137600000,6511.50000000,6588.50000000,6502.00000000,6583.50000000,529.31800000
1585141200000,6583.50000000,6745.50000000,6562.00000000,6585.00000000,449.16200000
1585144800000,6585.00000000,6640.00000000,6516.00000000,6590.00000000,258.83100000
1585148400000,6590.00000000,6662.00000000,6590.00000000,6615.00000000,20.69300000
1585152000000,6615.00000000,6695.50000000,6601.50000000,6664.50000000,23.18500000
1585155600000,6664.50000000,6677.50000000,6635.50000000,6650.00000000,16.52300000
1585159200000,6650.00000000,6652.50000000,6592.50000000,6652.50000000,17.28800000
1585162800000,6652.50000000,6671.50000000,6597.50000000,6622.00000000,10.83400000
1585166400000,6622.00000000,6638.00000000,6573.00000000,6590.00000000,20.31400000
1585170000000,6590.00000000,6602.00000000,6556.00000000,6588.00000000,9.02500000
1585173600000,6588.00000000,6692.50000000,6588.00000000,6681.00000000,12.43400000
1585177200000,6681.00000000,6698.50000000,6650.00000000,6698.50000000,3.03600000
1585180800000,6698.50000000,6767.00000000,6698.50000000,6738.50000000,27.19000000
1585184400000,6738.50000000,6738.50000000,6675.00000000,6688.00000000,80.82000000
1585188000000,6688.00000000,6698.00000000,6655.00000000,6694.00000000,3.37600000
1585191600000,6694.00000000,6742.00000000,6667.50000000,6726.50000000,258.72300000
1585195200000,6726.50000000,6751.00000000,6678.50000000,6692.00000000,191.12300000
1585198800000,6692.00000000,6708.50000000,6613.50000000,6625.00000000,185.90500000
1585202400000,6625.00000000,6666.00000000,6585.00000000,6636.00000000,160.82100000
1585206000000,6636.00000000,6636.00000000,6555.00000000,6582.00000000,206.57200000
1585209600000,6582.00000000,6623.50000000,6566.00000000,6610.50000000,153.39700000
1585213200000,6610.50000000,6641.50000000,6600.00000000,6616.50000000,155.43500000
1585216800000,6616.50000000,6638.50000000,6585.50000000,6616.00000000,174.32100000
1585220400000,6616.00000000,6665.00000000,6590.00000000,6598.50000000,156.59200000
1585224000000,6598.50000000,6631.00000000,6571.50000000,6620.50000000,138.18700000
1585227600000,6620.50000000,6675.50000000,6512.00000000,6626.50000000,218.40100000
1585231200000,6626.50000000,6631.50000000,6582.00000000,6591.50000000,149.48700000
1585234800000,6591.50000000,6615.50000000,6562.50000000,6611.00000000,185.01600000
1585238400000,6611.00000000,6657.50000000,6594.00000000,6634.50000000,175.76600000
1585242000000,6634.50000000,6675.00000000,6608.00000000,6630.50000000,364.41600000
1585245600000,6630.50000000,6651.50000000,6626.00000000,6629.50000000,98.01300000
1585249200000,6629.50000000,6667.00000000,6629.50000000,6656.00000000,148.35700000
1585252800000,6656.00000000,6733.00000000,6655.00000000,6719.00000000,203.90700000
1585256400000,6719.00000000,6749.00000000,6692.00000000,6713.50000000,151.70900000
1585260000000,6713.50000000,6716.00000000,6670.50000000,6699.00000000,154.31500000
1585263600000,6699.00000000,6760.00000000,6698.50000000,6733.50000000,163.11500000
1585267200000,6733.50000000,6838.00000000,6733.50000000,6808.50000000,218.23700000
1585270800000,6808.50000000,6821.50000000,6757.50000000,6799.50000000,177.15600000
1585274400000,6799.50000000,6799.50000000,6756.50000000,6789.50000000,132.44500000
1585278000000,6789.50000000,6799.50000000,6776.50000000,6789.50000000,137.20500000
1585281600000,6789.50000000,6821.50000000,6732.50000000,6738.00000000,220.74800000
1585285200000,6738.00000000,6740.00000000,6616.50000000,6653.00000000,372.59200000
1585288800000,6653.00000000,6693.50000000,6638.00000000,6673.50000000,205.99800000
1585292400000,6673.50000000,6720.00000000,6673.50000000,6702.00000000,230.31500000
1585296000000,6702.00000000,6702.00000000,6670.00000000,6674.50000000,133.19700000
1585299600000,6674.50000000,6685.50000000,6641.00000000,6648.00000000,149.54700000
1585303200000,6648.00000000,6672.00000000,6595.00000000,6641.00000000,200.10800000
1585306800000,6641.00000000,6686.50000000,6615.00000000,6617.50000000,188.51800000
1585310400000,6617.50000000,6659.00000000,6585.00000000,6631.00000000,174.33100000
1585314000000,6631.00000000,6643.00000000,6573.00000000,6591.50000000,210.39300000
1585317600000,6591.50000000,6620.00000000,6582.00000000,6613.00000000,245.21500000
1585321200000,6613.00000000,6651.00000000,6608.50000000,6621.00000000,157.80300000
1585324800000,6621.00000000,6666.00000000,6591.50000000,6638.50000000,253.91100000
1585328400000,6638.50000000,6652.50000000,6610.00000000,6632.00000000,164.83100000
1585332000000,6632.00000000,6655.00000000,6625.00000000,6644.00000000,115.31300000
1585335600000,6644.00000000,6680.00000000,6638.00000000,6655.50000000,177.46600000
1585339200000,6655.50000000,6659.00000000,6634.50000000,6654.50000000,145.93200000
1585342800000,6654.50000000,6676.00000000,6653.50000000,6670.00000000,127.90000000
1585346400000,6670.00000000,6671.50000000,6642.50000000,6665.00000000,105.30500000
1585350000000,6665.00000000,6665.00000000,6235.00000000,6354.00000000,360.88100000
1585353600000,6354.00000000,6354.00000000,6196.00000000,6297.00000000,305.34900000
1585357200000,6297.00000000,6298.50000000,6252.00000000,6268.00000000,158.56700000
1585360800000,6268.00000000,6277.50000000,6240.00000000,6249.50000000,139.75500000
1585364400000,6249.50000000,6254.50000000,6084.50000000,6118.00000000,308.03700000
1585368000000,6118.00000000,6193.00000000,6090.50000000,6166.50000000,215.03800000
1585371600000,6166.50000000,6183.00000000,6138.50000000,6158.50000000,188.32300000
1585375200000,6158.50000000,6167.00000000,6119.00000000,6157.00000000,187.12900000
1585378800000,6157.00000000,6189.00000000,6157.00000000,6177.50000000,181.06200000
1585382400000,6177.50000000,6262.50000000,6162.00000000,6250.00000000,289.31000000
1585386000000,6250.00000000,6279.50000000,6234.00000000,6246.50000000,192.98700000
1585389600000,6246.50000000,6272.00000000,6218.00000000,6249.50000000,224.98300000
1585393200000,6249.50000000,6300.00000000,6221.50000000,6231.00000000,236.21500000
1585396800000,6231.00000000,6252.50000000,6206.50000000,6228.00000000,127.96100000
1585400400000,6228.00000000,6241.50000000,6149.00000000,6217.50000000,227.80300000
1585404000000,6217.50000000,6244.00000000,6212.00000000,6231.50000000,124.36900000
1585407600000,6231.50000000,6268.00000000,6204.50000000,6208.50000000,165.69100000
1585411200000,6208.50000000,6235.50000000,6193.00000000,6223.50000000,135.18900000
1585414800000,6223.50000000,6228.00000000,6010.00000000,6010.50000000,328.95200000
1585418400000,6010.50000000,6220.00000000,6010.50000000,6163.50000000,887.65400000
1585422000000,6163.50000000,6224.50000000,6163.00000000,6212.50000000,279.12400000
1585425600000,6212.50000000,6288.50000000,6212.00000000,6233.50000000,315.40500000
1585429200000,6233.50000000,6255.50000000,6172.50000000,6212.50000000,194.41900000
1585432800000,6212.50000000,6241.00000000,6176.00000000,6206.50000000,178.64900000
1585436400000,6206.50000000,6247.00000000,6183.50000000,6230.50000000,158.98800000
1585440000000,6230.50000000,6247.00000000,6185.50000000,6201.50000000,131.99400000
1585443600000,6201.50000000,6219.50000000,6184.00000000,6208.00000000,148.60600000
1585447200000,6208.00000000,6219.50000000,6195.00000000,6196.00000000,176.18800000
1585450800000,6196.00000000,6204.50000000,6184.00000000,6197.00000000,85.20500000
1585454400000,6197.00000000,6202.50000000,6190.00000000,6197.50000000,113.16500000
1585458000000,6197.50000000,6198.00000000,6140.50000000,6141.00000000,144.41600000
1585461600000,6141.00000000,6157.00000000,6129.50000000,6146.00000000,239.74600000
1585465200000,6146.00000000,6163.00000000,6107.50000000,6146.50000000,234.55900000
