time,open,high,low,close,volume
1584921600000,6500.00000000,6838.00000000,5858.00000000,5873.00000000,21418.02800000
1585526400000,5873.00000000,7230.50000000,5841.50000000,6771.00000000,114130.00000000
1586131200000,6771.00000000,7458.50000000,6741.50000000,6901.00000000,111617.01900000
1586736000000,6901.00000000,7289.00000000,6465.50000000,7118.50000000,114400.90600000
1587340800000,7118.50000000,7743.50000000,6750.00000000,7691.50000000,110797.86400000
1587945600000,7691.50000000,9458.00000000,7624.00000000,8895.00000000,159303.41200000
1588550400000,8895.00000000,10059.50000000,8153.00000000,8725.00000000,229416.23600000
1589155200000,8725.00000000,9940.00000000,8182.00000000,9675.00000000,148152.86800000
1589760000000,9675.00000000,9957.50000000,8690.00000000,8710.00000000,102055.16700000
1590364800000,8710.00000000,9735.00000000,8640.50000000,9449.50000000,76906.00800000
1590969600000,9449.50000000,10352.00000000,9288.00000000,9741.00000000,71068.59600000
1591574400000,9741.00000000,9995.00000000,9100.50000000,9340.00000000,49708.16300000
1592179200000,9340.00000000,9584.50000000,8906.50000000,9295.00000000,48271.89100000
1592784000000,9295.00000000,9782.00000000,8840.00000000,9120.00000000,58734.53799981
1593388800000,9120.00000000,9289.00000000,8910.00000000,9074.00000000,42870.09399956
1593993600000,9074.00000000,9466.50000000,9063.00000000,9295.00000000,46683.56899987
1594598400000,9295.00000000,9335.50000000,9045.50000000,9203.00000000,40079.82100000
1595203200000,9203.00000000,10138.00000000,9134.00000000,9922.50000000,63032.87100000
1595808000000,9922.50000000,12113.50000000,9922.50000000,11073.00000000,174962.67800000
1596412800000,11073.00000000,11916.50000000,10943.50000000,11686.50000000,69537.72200000
1597017600000,11686.50000000,12063.00000000,11144.00000000,11914.50000000,105633.18000000
1597622400000,11914.50000000,12499.50000000,11391.00000000,11660.00000000,66939.42200000
1598227200000,11660.00000000,11826.00000000,11125.00000000,11710.00000000,38072.62200000
1598832000000,11710.00000000,12066.00000000,9834.00000000,10255.50000000,72626.87800000
1599436800000,10255.50000000,10572.50000000,9838.00000000,10320.00000000,36195.93200000
1600041600000,10320.00000000,11168.00000000,10250.00000000,10912.00000000,32279.92900000
1600646400000,10912.00000000,10977.00000000,10140.00000000,10770.00000000,36467.59500000
1601251200000,10770.00000000,10951.50000000,10392.00000000,10666.00000000,31581.91400000
1601856000000,10666.00000000,11490.00000000,10531.00000000,11374.00000000,37847.19300000
1602460800000,11374.00000000,11729.00000000,11200.00000000,11492.00000000,36542.19500000
1603065600000,11492.00000000,13360.00000000,11406.50000000,13024.50000000,77217.65100000
1603670400000,13024.50000000,14120.00000000,12769.00000000,13750.00000000,98332.25800000
1604275200000,13750.00000000,15976.00000000,13207.00000000,15481.50000000,148103.79600000
1604880000000,15481.50000000,16464.50000000,14825.00000000,15939.50000000,135225.51200000
1605484800000,15939.50000000,18981.50000000,15866.00000000,18421.50000000,221563.56300000
1606089600000,18421.50000000,19531.00000000,16202.00000000,18179.00000000,202541.41800000
1606694400000,18179.00000000,19948.00000000,18090.50000000,19366.00000000,155223.71300000
1607299200000,19366.00000000,19431.00000000,17567.00000000,19177.00000000,113649.85600000
1607904000000,19177.00000000,24344.00000000,19017.50000000,23468.50000000,189815.25500000
1608508800000,23468.50000000,28468.00000000,21959.00000000,26266.50000000,201292.82600000
1609113600000,26266.50000000,34820.00000000,25930.00000000,32963.00000000,205897.61700000
1609718400000,32963.00000000,42100.00000000,27923.00000000,38169.50000000,279042.08000000
1610323200000,38169.50000000,40076.00000000,30427.00000000,35871.50000000,276064.68800000
1610928000000,35871.50000000,37920.00000000,28913.50000000,32224.50000000,170505.56400000
1611532800000,32224.50000000,38632.00000000,29273.00000000,33128.00000000,267963.47700000
1612137600000,33128.00000000,40950.00000000,32344.50000000,38825.50000000,171400.64100000
1612742400000,38825.50000000,49834.00000000,38061.00000000,48689.50000000,218581.32400000
1613347200000,48689.50000000,58399.00000000,45712.50000000,57459.00000000,151969.81400000
1613952000000,57459.00000000,57556.00000000,43080.00000000,45156.00000000,261866.15400000
1614556800000,45156.00000000,52622.00000000,44983.00000000,50946.50000000,175843.40100000
1615161600000,50979.50000000,61939.50000000,49385.00000000,59068.00000000,187574.11600000
1615766400000,59068.00000000,60704.00000000,53376.00000000,57351.00000000,182478.75600000
1616371200000,57351.00000000,58402.50000000,50504.00000000,55760.00000000,160911.72200000
1616976000000,55760.00000000,60300.00000000,55006.00000000,58208.00000000,118529.98000000
1617580800000,58208.00000000,61671.50000000,55535.00000000,60033.50000000,87539.58800000
1618185600000,60033.50000000,64943.50000000,50500.00000000,56100.00000000,151996.51200000
1618790400000,56100.00000000,57436.00000000,47019.00000000,49022.50000000,160365.08700000
1619395200000,49022.50000000,58438.50000000,48723.00000000,56599.50000000,113066.66200000
1620000000000,56599.50000000,59526.00000000,52930.00000000,58240.50000000,116571.60000000
1620604800000,58240.50000000,59586.00000000,43890.00000000,46414.00000000,196150.66600000
1621209600000,46414.00000000,46629.00000000,28801.00000000,34658.00000000,566550.69000000
1621814400000,34658.00000000,40871.00000000,33360.00000000,35661.50000000,329536.66700000
1622419200000,35661.50000000,39440.00000000,34176.50000000,35801.00000000,317673.75900000
1623024000000,35801.00000000,39372.00000000,30980.00000000,39026.00000000,541479.75400000
1623628800000,39026.00000000,41300.00000000,33338.00000000,35608.50000000,505621.83100000
1624233600000,35608.50000000,35737.50000000,28774.00000000,34690.50000000,876029.38600000
1624838400000,34690.50000000,36573.00000000,32695.00000000,35293.00000000,533352.76500000
1625443200000,35293.00000000,35293.00000000,32089.00000000,34234.00000000,479124.47300000
1626048000000,34234.00000000,34620.00000000,31056.00000000,31748.00000000,413490.92000000
1626652800000,31748.00000000,35366.00000000,29272.50000000,35348.50000000,471923.43700000
1627257600000,35348.50000000,42600.00000000,35174.50000000,39836.50000000,660000.07800000
1627862400000,39836.50000000,45319.50000000,37281.00000000,43806.00000000,532617.45100000
1628467200000,43806.00000000,48280.50000000,42800.00000000,46998.00000000,399842.05200000
1629072000000,46998.00000000,49800.00000000,44000.00000000,49248.50000000,393674.24200000
1629676800000,49248.50000000,50490.00000000,46300.00000000,48747.50000000,415122.31200000
1630281600000,48747.50000000,51859.50000000,46585.00000000,51641.50000000,371427.44100000
1630886400000,51641.50000000,52858.00000000,42330.00000000,46027.50000000,414740.89400000
1631491200000,46027.50000000,48800.00000000,43199.50000000,47274.50000000,290860.72500000
1632096000000,47274.50000000,47342.00000000,39520.00000000,43168.50000000,516240.35500000
1632700800000,43168.50000000,49357.00000000,40728.50000000,48175.50000000,378225.03300000
1633305600000,48175.50000000,56666.00000000,46902.50000000,54724.50000000,332103.55500000
1633910400000,54724.50000000,63801.00000000,53700.00000000,61544.00000000,331089.52100000
1634515200000,61544.00000000,67210.00000000,59456.00000000,60901.50000000,341215.94600000
1635120000000,60901.50000000,63750.50000000,57476.00000000,61338.00000000,268478.01600000
1635724800000,61338.00000000,64258.50000000,59444.00000000,63264.00000000,222678.93300000
1636329600000,63264.00000000,69138.50000000,62350.00000000,65529.50000000,234800.43500000
1636934400000,65529.50000000,66383.00000000,55665.50000000,58627.00000000,259573.95500000
1637539200000,58627.00000000,59692.00000000,53122.00000000,57299.00000000,233415.44900000
1638144000000,57299.00000000,59200.00000000,40829.00000000,49358.00000000,344269.42900000
1638748800000,49358.00000000,51923.50000000,46750.00000000,50079.50000000,271272.19400000
1639353600000,50079.50000000,50167.00000000,45280.00000000,46699.50000000,332571.33100000
1639958400000,46699.50000000,51980.00000000,45479.50000000,50763.00000000,253671.85500000
1640563200000,50763.00000000,52119.00000000,45634.00000000,47305.00000000,303503.37300000
1641168000000,47305.00000000,47576.50000000,40517.50000000,41856.00000000,435568.99400000
1641772800000,41856.00000000,44450.00000000,39655.00000000,43051.00000000,397690.79600000
1642377600000,43051.00000000,43482.00000000,33960.00000000,36234.50000000,616579.93300000
1642982400000,36234.50000000,38888.00000000,32906.00000000,37875.50000000,601146.45200000
1643587200000,37875.50000000,42638.50000000,36200.50000000,42350.00000000,453517.68400000
1644192000000,42350.00000000,45924.50000000,41595.00000000,42059.50000000,536482.88500000
1644796800000,42059.50000000,44800.00000000,37917.00000000,38355.00000000,476902.24500000
1645401600000,38355.00000000,40300.00000000,34242.50000000,37665.00000000,793535.98100000
1646006400000,37665.00000000,45372.00000000,37435.00000000,38394.00000000,650612.10000000
1646611200000,38394.00000000,42698.00000000,37139.00000000,37756.00000000,688949.89700000
1647216000000,37756.00000000,42397.00000000,37527.00000000,41272.00000000,554749.65500000
1647820800000,41272.00000000,46989.00000000,40473.50000000,46793.00000000,518985.25400000
1648425600000,46793.00000000,48185.00000000,44202.00000000,46411.50000000,534575.05500000
