time,open,high,low,close,volume
1634515200000,62186.50000000,67210.00000000,59917.00000000,66055.00000000,139221.33500000
1634774400000,66055.00000000,66726.00000000,59625.00000000,61357.00000000,162363.03800000
1635033600000,61357.00000000,63750.50000000,59456.00000000,60310.50000000,101198.22900000
1635292800000,60310.50000000,62988.50000000,57476.00000000,62300.00000000,144471.22500000
1635552000000,62300.00000000,62536.50000000,59444.00000000,60949.50000000,98006.02800000
1635811200000,60949.50000000,64258.50000000,60077.00000000,61440.50000000,114992.15000000
1636070400000,61440.50000000,63300.00000000,60150.00000000,63264.00000000,66163.29000000
1636329600000,63264.00000000,69138.50000000,62512.50000000,64893.50000000,129443.88000000
1636588800000,64893.50000000,65594.00000000,62350.00000000,64423.00000000,82806.37400000
1636848000000,64423.00000000,66383.00000000,58500.00000000,60111.00000000,113951.42200000
1637107200000,60111.00000000,61097.00000000,55665.50000000,58095.50000000,124121.12200000
1637366400000,58095.50000000,60047.50000000,55614.00000000,56278.00000000,89240.88100000
1637625600000,56278.00000000,59440.50000000,55300.00000000,58937.00000000,84524.72500000
1637884800000,58937.00000000,59150.00000000,53122.00000000,57299.00000000,103682.23400000
1638144000000,57299.00000000,59200.00000000,55900.00000000,57225.00000000,123939.64700000
1638403200000,57225.00000000,57690.00000000,40829.00000000,49125.50000000,184023.41500000
1638662400000,49125.50000000,51923.50000000,47020.00000000,50580.50000000,116413.98000000
1638921600000,50580.50000000,51232.50000000,46750.00000000,47181.00000000,127004.42000000
1639180800000,47181.00000000,50790.00000000,45502.00000000,46652.50000000,126572.35800000
1639440000000,46652.50000000,49504.50000000,46251.50000000,47661.00000000,141065.66700000
1639699200000,47661.00000000,48390.00000000,45280.00000000,46699.50000000,129075.42500000
1639958400000,46699.50000000,49586.00000000,45479.50000000,48610.50000000,115406.69200000
1640217600000,48610.50000000,51980.00000000,48030.00000000,50406.00000000,104994.24500000
1640476800000,50406.00000000,52119.00000000,47312.00000000,47539.00000000,124765.31600000
1640736000000,47539.00000000,48554.00000000,45634.00000000,46200.50000000,140655.27200000
1640995200000,46200.50000000,48000.00000000,45700.00000000,46462.00000000,116172.38100000
1641254400000,46462.00000000,47475.00000000,42179.00000000,43110.50000000,197280.56200000
1641513600000,43110.50000000,43260.00000000,40517.50000000,41856.00000000,193467.23600000
1641772800000,41856.00000000,44450.00000000,39655.00000000,43889.50000000,211210.59800000
1642032000000,43889.50000000,44366.50000000,41743.00000000,43083.00000000,152603.22800000
1642291200000,43083.00000000,43455.00000000,41300.00000000,42332.50000000,134870.67200000
1642550400000,42332.50000000,43482.00000000,35378.00000000,36442.50000000,306319.05900000
1642809600000,36442.50000000,37550.00000000,32906.00000000,36651.50000000,378071.60600000
1643068800000,36651.50000000,38888.00000000,35490.50000000,37140.50000000,267018.79900000
1643328000000,37140.50000000,38769.00000000,36172.50000000,37875.50000000,165323.21900000
1643587200000,37875.50000000,39250.00000000,36500.00000000,36887.00000000,199564.86100000
1643846400000,36887.00000000,41918.00000000,36200.50000000,41380.00000000,213726.42800000
1644105600000,41380.00000000,45500.00000000,41110.00000000,44015.00000000,216083.43200000
1644364800000,44015.00000000,45924.50000000,41900.00000000,42354.00000000,264475.52300000
1644624000000,42354.00000000,42975.00000000,41566.50000000,42536.50000000,157288.67400000
1644883200000,42536.50000000,44800.00000000,40009.50000000,40515.00000000,211838.87000000
1645142400000,40515.00000000,40924.00000000,37917.00000000,38355.00000000,203925.02600000
1645401600000,38355.00000000,39480.00000000,36312.50000000,37245.50000000,343202.82400000
1645660800000,37245.50000000,40300.00000000,34242.50000000,39094.50000000,336650.41100000
1645920000000,39094.50000000,44900.00000000,36922.00000000,44389.50000000,346657.00000000
1646179200000,44389.50000000,45372.00000000,38506.00000000,39114.50000000,291652.22300000
1646438400000,39114.50000000,39748.00000000,37139.00000000,37976.00000000,244701.04100000
1646697600000,37976.00000000,42698.00000000,37865.00000000,39408.00000000,350538.26700000
1646956800000,39408.00000000,40250.00000000,37551.00000000,37756.00000000,219696.21200000
1647216000000,37756.00000000,41737.00000000,37527.00000000,41124.50000000,315909.45900000
1647475200000,41124.50000000,42397.00000000,40105.00000000,42180.50000000,183682.28700000
1647734400000,42180.50000000,43453.00000000,40473.50000000,42359.50000000,225976.27100000
1647993600000,42359.50000000,45055.50000000,41697.50000000,44293.50000000,238866.22900000
1648252800000,44293.50000000,48185.00000000,44050.00000000,47122.50000000,199118.55500000
1648512000000,47122.50000000,48068.50000000,45110.00000000,45511.00000000,215978.85400000
1648771200000,45511.00000000,47493.00000000,44202.00000000,46411.50000000,228778.30900000
1649030400000,46411.50000000,47190.00000000,43100.00000000,43158.50000000,261899.39000000
1649289600000,43158.50000000,43982.00000000,42090.00000000,42726.50000000,198658.93900000
1649548800000,42726.50000000,43403.00000000,39171.50000000,40055.00000000,306422.29200000
1649808000000,40055.00000000,41553.00000000,39521.00000000,40528.50000000,235781.25600000
1650067200000,40528.50000000,41255.00000000,38466.50000000,40773.50000000,194423.22000000
1650326400000,40773.50000000,42950.00000000,39588.00000000,40454.50000000,256383.86400000
1650585600000,40454.50000000,40767.00000000,38831.00000000,39439.50000000,181557.01800000
1650844800000,39439.50000000,40803.00000000,37668.50000000,39206.00000000,392735.79500000
1651104000000,39206.00000000,40350.00000000,37558.50000000,37611.50000000,275415.36400000
1651363200000,37611.50000000,39255.50000000,37351.00000000,37733.50000000,241097.62000000
1651622400000,37733.50000000,40058.50000000,35200.00000000,35990.50000000,433193.63900000
